minor,average rssi(mW),dBm
row6,2.110068e-06,-56.76
row7,3.674024e-07,-64.35
row8,4.060574e-08,-73.91
time range,11:06:43,11:06:53
row1,2.397081e-07,-66.20
row2,1.338812e-07,-68.73
row3,1.179682e-06,-59.28
row4,1.097097e-05,-49.60
row5,3.653554e-04,-34.37
row6,9.899584e-06,-50.04
row7,3.776625e-08,-74.23
row8,1.558699e-07,-68.07
time range,11:06:57,11:07:07
row1,9.186964e-08,-70.37
row2,4.521545e-08,-73.45
row3,2.110236e-06,-56.76
row4,1.574880e-05,-48.03
row5,3.981072e-04,-34.00
row6,6.240053e-06,-52.05
row7,1.633830e-07,-67.87
row8,3.585478e-08,-74.45
time range,11:07:13,11:07:23
row1,1.419024e-07,-68.48
row2,9.316493e-08,-70.31
row3,4.146878e-06,-53.82
row4,2.868900e-06,-55.42
row5,2.755783e-04,-35.60
row6,5.676142e-06,-52.46
row7,4.475037e-07,-63.49
row8,5.695274e-08,-72.44
time range,11:07:44,11:07:54
row1,4.614018e-08,-73.36
row2,4.890235e-08,-73.11
row3,2.339678e-07,-66.31
row4,3.341680e-06,-54.76
row5,3.530680e-05,-44.52
row6,2.076277e-05,-46.83
row7,7.739069e-07,-61.11
row8,1.408203e-07,-68.51
time range,11:08:04,11:08:14
row1,1.379807e-07,-68.60
row2,1.635474e-07,-67.86
row3,1.144500e-07,-69.41
row4,9.391562e-07,-60.27
row5,2.253574e-04,-36.47
row6,1.806958e-05,-47.43
row7,1.694404e-07,-67.71
row8,1.158375e-07,-69.36
time range,11:08:50,11:09:00
row1,5.762473e-08,-72.39
row2,1.491760e-08,-78.26
row3,3.409077e-07,-64.67
row4,4.257251e-07,-63.71
row5,7.943282e-05,-41.00
row6,6.814278e-06,-51.67
row7,6.922214e-07,-61.60
row8,9.251246e-08,-70.34
time range,11:09:55,11:10:05
row1,1.487103e-07,-68.28
row2,7.483903e-08,-71.26
row3,7.073000e-08,-71.50
row4,5.011872e-06,-53.00
row5,2.339678e-06,-56.31
row6,3.563609e-05,-44.48
row7,2.188996e-07,-66.60
row8,3.190584e-07,-64.96
time range,11:10:12,11:10:22
row1,5.482909e-08,-72.61
row2,6.638963e-08,-71.78
row3,2.613878e-07,-65.83
row4,3.389804e-07,-64.70
row5,4.280585e-05,-43.68
row6,5.403023e-05,-42.67
row7,5.472893e-07,-62.62
row8,6.069150e-08,-72.17
time range,11:10:26,11:10:36
row1,1.550384e-08,-78.10
row2,7.587731e-08,-71.20
row3,2.796750e-07,-65.53
row4,3.088744e-07,-65.10
